flight_distance_km,aircraft_weight_kg,num_engines,engine_thrust_lbf,cruise_speed_kmph,cruise_altitude_ft,fuel_consumed_kg
5805.739747056228,160730.79265427883,2,41907.22841860869,774.7280103011042,39014.07551005346,25193.11577027324
14275.500304225767,145172.42076039605,2,32964.62267670965,723.7044437905145,34428.721568351815,53830.42514093336
11060.310944627654,85290.79457609254,2,58224.92624319704,731.589806243054,30541.052938218414,35710.279906089876
9100.279717696438,249975.8679787684,2,20948.922549211908,745.1677820452304,37576.3432259312,35068.67915934452
2593.4740145038168,200070.42931429623,2,39392.82079994703,750.9133335912371,33442.81576388284,16357.653239720075
2593.119448942179,348697.7790677694,2,45010.50074951113,760.565452302636,35730.157284882465,11995.030858582033
1153.829098872532,30265.859744146255,4,51278.22446726908,763.8650072408736,29394.448772261203,3862.024149895219
13032.789342891547,263957.54832605826,2,30348.551521400354,813.929086371884,36210.5918637079,58464.26485499204
9136.39067262517,309446.47159141634,2,44346.095382874075,827.3932977065103,32856.156356286614,38483.67996163515
10708.666893601869,308123.8694299333,2,25160.07356921414,777.219802031589,32344.46674634043,41831.41178768366
602.592066148296,356480.2554304906,2,31773.804618091013,926.824104980182,40738.902524111414,6660.576291002893
14557.674826781316,296490.88976086676,2,54781.35656016996,838.2849308347386,33621.598355883216,57614.03123642616
12536.9068197662,372423.44354942,2,57495.380466547715,896.8692320083517,36814.49891550455,52670.15798142045
3421.3849269706593,145074.82113158054,2,45940.86734636324,931.0594581052109,36160.457962459936,8602.50237178654
2972.827017944379,210225.99719908944,2,28717.59453880925,740.7837786439513,29355.94616150705,7430.8297366979805
2996.046294845477,23378.43137406424,4,51002.8894987332,806.9686209289086,37723.05798183611,8862.75477311831
4772.360971505204,20657.798349857243,2,11293.354086271009,808.3026004286522,32201.069644636496,16777.46726670151
8013.919544993896,109728.3690124806,4,15137.295526971053,788.6180626095886,38386.21413955756,30224.09764628128
6649.591774039101,56508.34930713057,2,43068.68681876806,702.22646663791,35899.33017399997,19872.194524104987
4581.068360911216,117400.74255145788,2,24562.428763502874,903.9930269445238,32122.189369395364,17671.64801558446
9294.237552418977,85630.5385098478,2,57569.31092002389,727.8898303884757,32631.80848430392,34750.159032807525
2350.559751585015,28894.649488363626,2,31803.030604615236,948.8701494804397,37509.595805662684,6746.897254956641
4594.5263334677065,365354.18392711086,2,31468.241019458852,893.2396229777954,35150.77109659746,20587.048683266446
5685.519096417268,21141.236190556563,2,43903.975509546566,845.0025044016286,36688.5635287271,18915.012339804693
7004.228767990428,299183.3791367666,2,48378.428115309485,738.6516044353993,30058.138173977448,31363.020856589865
11842.0866324773,76120.49280325531,2,33777.93690625683,828.8482428483118,38230.69673896944,43285.27791617696
3235.204597727888,366471.7156038472,2,20700.045085586207,765.2771852144522,32165.08714589545,13807.441720441322
7859.246244680091,359048.0489233364,2,48665.43213628108,763.0806311357674,36058.19647304976,36731.53148003046
9008.494162272023,267790.2379130563,2,26017.563743681378,907.3823123456214,29490.837728146114,31965.05652199254
982.8210669839666,274793.44522383116,2,18755.53846469288,795.1611059898587,32178.46313504057,2798.1601588999474
9230.909322951144,20039.552232421025,2,41582.00949625066,812.6809508477011,36435.27480986634,32704.963969155626
2806.7046182031854,394220.938255396,2,14522.68334951752,910.7411844450296,31564.67971977326,15276.575016493658
1256.2584168836088,353332.0545659611,2,58567.63375430275,721.9476564297106,39444.05855774762,11086.599019143705
14248.617397623999,359930.57822889515,2,41619.86322060684,848.6544632727623,36595.96919276447,52557.55380223971
14494.790886196022,269831.41315343307,2,59294.77604608779,844.5539203432595,39313.619112858345,58644.37621585853
12183.44101731198,149708.60674603295,4,26944.6711739318,806.3036423166689,33140.079129264566,50570.77962590414
4777.822406848549,359373.78395256365,2,58560.258059519896,907.4436603560232,28441.806854120776,23219.245198092412
1735.7800758938429,129359.46655375548,2,17278.11238643118,935.7225153339232,35489.81952361634,9309.215743722838
10358.225489728706,232955.8095567215,4,12034.738617351422,816.3339654784027,32409.51553542984,33643.398111002796
6770.241657972139,56097.23143536307,2,11649.203022730127,814.0367627495999,33826.44888699059,23465.618489845216
2093.9620522182486,370187.0507107106,2,33243.51852996135,825.5159324176861,36854.43278099573,11458.553829329821
7579.100578635672,71774.31486860348,2,14150.20987392974,880.7810077082654,37108.640671921334,25312.156868543425
805.5112603937105,103910.57978901558,2,35608.39420838009,867.0150726747406,28358.2333932556,3117.6135429938586
13667.009910558096,231207.24840497813,2,26375.025175445022,755.7087373017217,38000.93474691498,50156.998599807164
4104.065729520249,309883.52608135896,2,26781.44962370578,715.9738371498358,34415.74589442903,15183.313042138148
10039.077580003535,254592.1988676662,4,41780.44982725849,937.3135324541973,35237.08405321915,38329.45961723945
4882.152818514341,106675.15468965966,2,18154.90030758101,765.2674399334261,31873.924407468083,15925.715893182938
7944.999911313819,18360.242245501307,2,48327.66851698655,859.6491711726479,33470.83921800755,31414.45675155313
8336.641106346211,307231.5216774418,2,39101.54598893174,907.1095006859306,37234.876741731314,35559.73671440474
3017.3604962252475,394349.1984980378,4,55747.231442375545,775.0691876367965,38097.279438275364,18586.04438299816
14552.894028139011,327386.81195692654,2,28242.03268837617,858.8583534142322,33032.38035518371,59341.131091383526
11694.452503408384,193798.92813582707,2,59135.74960335628,726.9750602873062,36984.52792446729,42541.4452898901
14110.63444099358,363239.0938544587,2,38791.38233570116,942.4828610939152,31354.565521949695,56421.001669742036
13453.962051286439,174561.81113120972,2,58670.09780937669,714.5395687626565,38816.294647307695,54091.35565846105
9089.129688522951,218524.82018100462,2,11353.032702355766,809.5436684602441,35927.58510579575,32628.403699120154
13851.551254839816,200263.571145151,4,46398.8161206194,834.2048105150059,38077.424708869636,46324.845517285234
1600.8397801632166,188992.31935823054,2,50831.076214636814,897.620444665841,34203.01308013202,7382.3678375852805
3180.9480775614343,314122.873870272,2,12658.66433382438,730.2821292681053,30978.42070476542,18967.897145901232
964.8411469849095,219225.72257694593,4,38948.48320081229,810.2019934637941,33580.00447307737,4585.090388393939
5082.355862219986,138985.94061363256,2,50097.11467947242,774.9278923858631,32959.31012821817,19479.679311138127
6013.556158435385,116616.42004553872,2,38051.936261153634,778.002678923335,32325.31506472207,21218.646366589102
4288.83076707627,32419.475081559554,2,13190.679520273332,894.6969790163128,30758.25872063922,15189.952523715687
12482.441384533362,240780.55183932357,2,44672.36204491557,701.3652362579583,37869.17284443748,45048.19348601133
5544.273902395762,105845.26068319507,2,13029.845733665432,887.2709103339915,29122.571597167287,16803.86171645839
4429.737292404498,74587.15821025835,4,50873.444750821924,902.5996075307766,39538.29208851584,16317.816078985103
8277.632422426253,267763.04618217284,2,12151.70916533472,925.3405609605172,30275.321397670796,32419.966993297203
2371.586107129011,278221.93648783164,2,16869.86905051854,856.7204508076209,40738.357474070035,16160.721866541591
12092.295617084383,305323.1688424284,2,23755.379526163422,783.3638320680603,40850.08462513197,47576.77630764398
1395.894462092631,210366.37440134195,2,41668.23961304,806.8086831372177,33179.03153613497,5359.345757697098
14807.237968027604,359528.85918788466,2,58817.9549815653,942.4340205718573,40841.673944219416,56199.57911796866
11651.998108660864,375682.931798123,2,15891.142630996721,920.2967066089631,39297.89072464944,48875.538616106576
3221.1205185523345,326415.69900073094,2,17135.38346069592,815.8814772748605,29071.593600306653,15241.416084083283
381.17512171695523,260796.7101271275,2,28443.519835049017,935.7657517777307,40315.271327172035,2535.6132973121858
12287.282998286062,134021.40427183406,2,51810.95688776601,905.7387188516147,28552.687016759726,46299.01775021014
10690.802954559971,393484.9600589245,2,33361.54763754071,925.2724654149487,30364.885818608393,41617.651175668056
11016.405370202514,122720.01586732044,2,26080.53001279108,870.7443086439803,35599.74203100677,42354.26411058614
